program_id;overlap_count;signature_length;jaccard_index
129;10;30;0.3333
261;9;30;0.3000
1109;8;30;0.2667
1921;9;30;0.3000
2532;10;30;0.3333
2534;10;30;0.3333
7751;9;30;0.3000
14334;10;30;0.3333
14335;10;30;0.3333
15442;8;30;0.2667
15519;10;30;0.3333
15520;10;30;0.3333
15524;10;30;0.3333
15525;10;30;0.3333
15529;10;30;0.3333
15561;9;30;0.3000
15566;9;30;0.3000
15575;10;30;0.3333
15580;8;30;0.2667
18913;8;30;0.2667
41024;9;30;0.3000
51958;10;30;0.3333
72256;8;30;0.2667
73352;8;30;0.2667
74878;9;30;0.3000
75835;8;30;0.2667
77988;8;30;0.2667
80920;10;30;0.3333
82405;8;30;0.2667
83099;10;30;0.3333
83694;10;30;0.3333
83695;10;30;0.3333
84150;10;30;0.3333
85449;10;30;0.3333
87125;9;30;0.3000
92444;9;30;0.3000
96979;8;30;0.2667
97841;8;30;0.2667
98296;9;30;0.3000
98298;9;30;0.3000
98299;9;30;0.3000
98300;9;30;0.3000
98302;9;30;0.3000
98303;9;30;0.3000
98304;9;30;0.3000
99134;10;30;0.3333
103435;10;30;0.3333
105038;8;30;0.2667
105187;8;30;0.2667
108261;8;30;0.2667
109107;9;30;0.3000
120612;8;30;0.2667
125817;10;30;0.3333
125819;10;30;0.3333
131707;8;30;0.2667
132593;9;30;0.3000
133271;8;30;0.2667
133272;8;30;0.2667
134271;9;30;0.3000
137247;8;30;0.2667
138395;8;30;0.2667
145607;9;30;0.3000
153191;10;30;0.3333
157088;8;30;0.2667
157093;8;30;0.2667
161007;10;30;0.3333
161728;8;30;0.2667
166470;8;30;0.2667
174768;8;30;0.2667
174778;8;30;0.2667
174779;8;30;0.2667
175005;8;30;0.2667
176372;8;30;0.2667
176377;8;30;0.2667
176378;8;30;0.2667
178906;8;30;0.2667
180028;8;30;0.2667
180144;9;30;0.3000
180226;10;30;0.3333
182190;8;30;0.2667
189173;9;30;0.3000
190943;10;30;0.3333
190956;10;30;0.3333
190982;10;30;0.3333
192356;9;30;0.3000
245399;8;30;0.2667
251733;8;30;0.2667
253621;8;30;0.2667
273053;8;30;0.2667
277091;9;30;0.3000
290917;8;30;0.2667
290999;8;30;0.2667
291001;8;30;0.2667
291008;8;30;0.2667
293004;8;30;0.2667
302146;8;30;0.2667
305492;10;30;0.3333
319196;9;30;0.3000
328604;9;30;0.3000
328606;8;30;0.2667
