program_id;overlap_count;signature_length;jaccard_index
1622;10;30;0.3333
11551;8;30;0.2667
19740;8;30;0.2667
19743;8;30;0.2667
19746;8;30;0.2667
19753;8;30;0.2667
19756;8;30;0.2667
19760;8;30;0.2667
19776;10;30;0.3333
19779;8;30;0.2667
19781;8;30;0.2667
19782;8;30;0.2667
19827;9;30;0.3000
19863;9;30;0.3000
19973;9;30;0.3000
20769;9;30;0.3000
20797;9;30;0.3000
20805;9;30;0.3000
20832;9;30;0.3000
49471;10;30;0.3333
73744;10;30;0.3333
82486;10;30;0.3333
85550;10;30;0.3333
85551;10;30;0.3333
85552;10;30;0.3333
90388;9;30;0.3000
90458;9;30;0.3000
90550;9;30;0.3000
90655;9;30;0.3000
92727;14;30;0.4667
92750;14;30;0.4667
98316;10;30;0.3333
98318;10;30;0.3333
107905;9;30;0.3000
109134;9;30;0.3000
115754;10;30;0.3333
134945;9;30;0.3000
134972;9;30;0.3000
134973;10;30;0.3333
152422;10;30;0.3333
165663;9;30;0.3000
171417;9;30;0.3000
174968;9;30;0.3000
176014;10;30;0.3333
176015;11;30;0.3667
176051;10;30;0.3333
176055;10;30;0.3333
176105;10;30;0.3333
176218;10;30;0.3333
176439;10;30;0.3333
176515;9;30;0.3000
176522;10;30;0.3333
176537;9;30;0.3000
177033;9;30;0.3000
177346;9;30;0.3000
178255;10;30;0.3333
180317;9;30;0.3000
187426;9;30;0.3000
188655;10;30;0.3333
188656;9;30;0.3000
188659;9;30;0.3000
188731;9;30;0.3000
188736;9;30;0.3000
188934;9;30;0.3000
188939;10;30;0.3333
188941;9;30;0.3000
188943;10;30;0.3333
188945;8;30;0.2667
189038;10;30;0.3333
189966;10;30;0.3333
190289;10;30;0.3333
204188;9;30;0.3000
209927;10;30;0.3333
222132;10;30;0.3333
222133;10;30;0.3333
222134;9;30;0.3000
222135;9;30;0.3000
223140;10;30;0.3333
223141;10;30;0.3333
226765;9;30;0.3000
227400;9;30;0.3000
229780;10;30;0.3333
230981;10;30;0.3333
235162;9;30;0.3000
239798;9;30;0.3000
246725;9;30;0.3000
248803;8;30;0.2667
256719;8;30;0.2667
268683;10;30;0.3333
293322;8;30;0.2667
296184;10;30;0.3333
320029;11;30;0.3667
330479;8;30;0.2667
332133;10;30;0.3333
333345;9;30;0.3000
334397;9;30;0.3000
342959;8;30;0.2667
344111;10;30;0.3333
344212;11;30;0.3667
344387;8;30;0.2667
